source,destination,distance,travel_time,line
Noida Sector 51 [Conn: Blue],Noida Sector 50,1.3,3.2,Aqua line
Noida Sector 50,Noida Sector 76,1.0,2.5,Aqua line
Noida Sector 76,Noida Sector 101,1.1,2.8,Aqua line
Noida Sector 101,Noida Sector 81,0.9,2.2,Aqua line
Noida Sector 81,NSEZ Noida,2.0,5.0,Aqua line
NSEZ Noida,Noida Sector 83,1.1,2.8,Aqua line
Noida Sector 83,Noida Sector 137,1.5,3.8,Aqua line
Noida Sector 137,Noida Sector 142,1.6,4.0,Aqua line
Noida Sector 142,Noida Sector 143,1.0,2.5,Aqua line
Noida Sector 143,Noida Sector 144,1.4,3.5,Aqua line
Noida Sector 144,Noida Sector 145,1.2,3.0,Aqua line
Noida Sector 145,Noida Sector 146,1.7,4.3,Aqua line
Noida Sector 146,Noida Sector 147,1.5,3.8,Aqua line
Noida Sector 147,Noida Sector 148,1.6,4.0,Aqua line
Noida Sector 148,Knowledge Park II,2.5,6.2,Aqua line
Knowledge Park II,Pari Chowk Greater Noida,1.1,2.8,Aqua line
Pari Chowk Greater Noida,Alpha 1 Greater Noida,0.9,2.2,Aqua line
Alpha 1 Greater Noida,Delta 1 Greater Noida,1.5,3.8,Aqua line
Delta 1 Greater Noida,GNIDA Office,1.3,3.3,Aqua line
GNIDA Office,Depot Greater Noida,0.9,2.3,Aqua line
Dwarka Sector 21(First station) [Conn: Orange],Dwarka Sector 8,1.7,4.2,Blue line
Dwarka Sector 8,Dwarka Sector 9,1.0,2.5,Blue line
Dwarka Sector 9,Dwarka Sector 10,1.1,2.7,Blue line
Dwarka Sector 10,Dwarka Sector 11,1.0,2.5,Blue line
Dwarka Sector 11,Dwarka Sector 12,1.0,2.5,Blue line
Dwarka Sector 12,Dwarka Sector 13,0.9,2.3,Blue line
Dwarka Sector 13,Dwarka Sector 14,0.9,2.2,Blue line
Dwarka Sector 14,Dwarka [Conn: Gray],1.5,3.8,Blue line
Dwarka [Conn: Gray],Dwarka Mor,1.1,2.7,Blue line
Dwarka Mor,Nawada,1.2,3.0,Blue line
Nawada,Uttam Nagar West,1.0,2.5,Blue line
Uttam Nagar West,Uttam Nagar East,1.0,2.5,Blue line
Uttam Nagar East,Janak Puri West [Conn: Magenta],1.3,3.2,Blue line
Janak Puri West [Conn: Magenta],Janak Puri East,1.0,2.5,Blue line
Janak Puri East,Tilak Nagar,1.0,2.5,Blue line
Tilak Nagar,Subhash Nagar,0.9,2.3,Blue line
Subhash Nagar,Tagore Garden,0.9,2.2,Blue line
