station_id,station_name,line,latitude,longitude
1,Shaheed Sthal(First Station),Red line,28.6706109,77.4155822
2,Hindon River,Red line,28.878965,77.4154832
3,Arthala,Red line,28.676999,77.3918919
4,Mohan Nagar,Red line,28.60631905,77.10608185
5,Shyam park,Red line,28.6988072,28.6988072
6,Major Mohit Sharma,Red line,28.6776112,77.3581426
7,Raj Bagh,Red line,28.6408602,77.2094999
8,Shaheed Nagar,Red line,28.5307795,77.2120573
9,Dilshad Garden,Red line,28.67592,77.32142
10,Jhil Mil,Red line,28.67579,77.31239
11,Mansarovar Park,Red line,28.67544,77.30095
12,Shahdara,Red line,28.67345,77.28962
13,Welcome [Conn: Pink],Red line,28.6718,77.27756
14,Seelampur,Red line,28.66989,77.2667
15,Shastri Park,Red line,28.668,77.24994
16,"Kashmere Gate [Conn: Violet,Yellow]",Red line,28.6675,77.22817
17,Tis Hazari,Red line,28.66711,77.21653
18,Pul Bangash,Red line,28.66636,77.20727
19,Pratap Nagar,Red line,28.66662,77.19882
20,Shastri Nagar,Red line,28.66999,77.18169
21,Inderlok [Conn: Green],Red line,28.67319,77.16994
22,Kanhaiya Nagar,Red line,28.68254,77.16459
23,Keshav Puram,Red line,28.68894,77.1616
24,Netaji Subash Place [Conn: Pink],Red line,28.69591,77.15226
25,Kohat Enclave,Red line,28.6981,77.14024
26,Pitam Pura,Red line,28.70317,77.13223
27,Rohini East,Red line,28.7076,77.12591
28,Rohini West,Red line,28.71483,77.11467
29,Rithala(last station),Red line,28.72072,77.10713
1,Samaypur Badli(First Station),Yellow line,28.7446158,77.1382654
2,Rohini Sector 18-19,Yellow line,28.7383477,77.1398323
3,Haiderpur Badli Mor,Yellow line,28.7301214,77.1494029
4,Jahangirpuri,Yellow line,28.72592,77.16267
5,Adarsh Nagar,Yellow line,28.71642,77.17046
6,Azadpur [Conn: Pink],Yellow line,28.70696,77.18053
7,Model Town,Yellow line,28.70278,77.19363
8,Guru Tegh Bahadur Nagar,Yellow line,28.69785,77.20722
9,Vishwavidyalaya,Yellow line,28.6948,77.21483
10,Vidhan Sabha,Yellow line,28.68802,77.2214
11,Civil Lines,Yellow line,28.6768508,77.2250299
12,Kashmere Gate [Conn: Violet],Yellow line,28.6675,77.22817
13,Chandni Chowk,Yellow line,28.65785,77.23014
14,Chawri Bazar,Yellow line,28.64931,77.22637
15,New Delhi [Conn: Orange],Yellow line,28.64307,77.22144
16,Rajiv Chowk [Conn: Blue],Yellow line,28.63282,77.21826
17,Patel Chowk,Yellow line,28.62295,77.21389
18,Central Secretariat [Conn: Violet],Yellow line,28.61474,77.21191
19,Udyog Bhawan,Yellow line,28.61166,77.21198
20,Lok Kalyan Marg,Yellow line,28.59726,77.21088
21,Jor Bagh,Yellow line,28.58708,77.21209
22,Dilli Haat INA [Conn: Pink],Yellow line,28.57526,77.20935
23,AIIMS,Yellow line,28.56892,77.20771
24,Green Park,Yellow line,28.55979,77.20682
25,Hauz Khas [Conn: Magenta],Yellow line,28.54335,77.20667
26,Malviya Nagar,Yellow line,28.52798,77.20565
27,Saket,Yellow line,28.5206,77.20138
28,Qutab Minar,Yellow line,28.51302,77.18648
29,Chhattarpur,Yellow line,28.50671,77.17484
30,Sultanpur,Yellow line,28.49927,77.16153
31,Ghitorni,Yellow line,28.49383,77.14922
32,Arjan Garh,Yellow line,28.48076,77.12583
33,Guru Dronacharya,Yellow line,28.48203,77.10232
34,Sikandarpur [Conn: Rapid],Yellow line,28.48182,77.09235
35,MG Road,Yellow line,28.47957,77.08006
36,IFFCO Chowk,Yellow line,28.47209,77.07175
